Date,CORDILLERA ADMINISTRATIVE REGION (CAR),REGION I (ILOCOS REGION),REGION II (CAGAYAN VALLEY),REGION III (CENTRAL LUZON),REGION IV-A (CALABARZON),MIMAROPA REGION,REGION V (BICOL REGION),REGION VI (WESTERN VISAYAS),REGION VII (CENTRAL VISAYAS),REGION VIII (EASTERN VISAYAS),REGION IX (ZAMBOANGA PENINSULA),REGION X (NORTHERN MINDANAO),REGION XI (DAVAO REGION),REGION XII (SOCCSKSARGEN),REGION XIII (CARAGA),BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)
9/1/1990,6228.564269,21093.93739,51836.70636,47260.92653,27842.59523,13911.81283,43984.93944,120013.0536,11898.72168,14146.95561,31369.41473,27069.10391,43066.85744,52872.41205,5143.943814,27325.37383
10/1/1990,28440.57975,192638.0448,147888.4657,336732.377,53695.69259,92491.05336,69467.27362,84433.77,22545.94983,34756.59581,46716.18564,53261.44428,56206.11115,54870.75507,18664.25489,32434.27625
11/1/1990,40274.30406,283572.8206,201913.4491,489918.9433,68239.27065,134402.1408,86619.59059,75945.98657,29176.65391,47412.21287,56779.88684,69431.1412,63934.74642,58049.81696,25261.92086,35823.67297
12/1/1990,28479.11619,205644.1346,176176.0852,372824.6796,57680.03676,100116.8058,91992.13579,94960.24343,28285.39626,51830.19132,50435.92751,59370.41453,58668.14243,55814.42797,24289.82425,27472.05078
1/1/1991,6243.561477,71255.39384,125402.271,158272.984,36931.91837,37135.87363,103453.8626,150751.2712,26799.04534,59615.15731,41082.04627,42339.09878,49325.5626,55388.37164,18485.71881,14709.98462
2/1/1991,1829.494287,27777.18295,103948.1942,85802.68963,28655.89715,17795.33864,109162.4065,175900.9616,25927.14882,64297.59376,35171.15498,33700.59144,44460.94237,53077.49488,17715.06462,8284.802603
3/1/1991,3724.944236,20680.42321,95492.53486,95349.32636,30647.18448,21822.78773,81623.73095,120472.7671,19949.80584,47545.24892,26082.79876,26879.30978,40834.49503,40776.13348,24140.21657,5782.212777
4/1/1991,14434.37306,15158.12298,92947.27723,158930.7315,39323.17418,42564.53398,34508.95673,15684.80408,10467.17313,18713.3972,9667.455292,15544.93336,36506.69732,16658.01823,40286.22131,787.1305991
5/1/1991,19302.29348,7238.789781,83917.4206,173395.101,41722.2981,49196.05906,16937.91139,2318.88691,5989.373869,8532.698361,4497.454731,10258.45314,32948.60643,9461.602333,48754.79558,186.4929469
6/1/1991,14731.33346,5560.087235,68705.30217,120395.1675,35251.52772,37106.40696,20107.13189,6440.309009,5954.453004,10194.90443,8839.089977,14620.6135,32224.69625,19356.37944,36955.98311,1725.376454
7/1/1991,4774.885785,460.973978,38096.46767,11790.73183,20644.96336,8896.473789,29417.38775,31040.81787,5477.096224,16317.97227,22239.93486,23905.72468,30912.03147,52093.26078,15796.41337,19192.21756
8/1/1991,2626.754893,261.6022969,27262.78873,2518.444086,16003.36147,4597.144255,33422.74851,43153.63456,5444.785403,18605.53066,29565.60803,29399.15812,30201.65129,69714.82742,8387.833055,28240.08367
9/1/1991,6633.359322,7784.423725,46663.7436,23275.82409,25538.67517,20368.38196,48878.86374,80584.54757,11097.11837,24398.49707,37819.45711,38687.1172,33864.31724,66341.9118,10337.75358,22080.69878
10/1/1991,23077.56709,209390.033,95713.89637,269141.4238,51794.59685,109136.186,75233.19936,159294.1153,25964.36922,31447.07013,51758.95143,56343.64423,42335.25202,57038.99897,18211.62989,10982.5319
11/1/1991,31767.69843,312295.8016,123821.8122,396015.4709,65875.62226,156762.9387,93307.55047,209817.3616,34726.4031,37480.9552,61031.36118,67251.75533,46467.20916,53983.72189,21101.6179,6733.784498
12/1/1991,23412.73448,220721.1654,131643.2914,301771.1052,55675.78089,116469.8753,98169.25017,188427.5231,29903.22768,45804.97467,51896.68739,55584.60044,40730.53882,49818.27914,19284.75221,6312.683599
1/1/1992,7691.743866,58668.02927,144463.4977,127349.7099,36023.67431,44447.71137,109517.1405,156480.9637,21738.1636,64125.12384,38594.00013,37932.68803,31801.68888,48181.72824,14696.38431,7622.074827
2/1/1992,3423.898062,17067.96872,152565.3161,69516.2343,27943.89043,20937.48021,114684.9027,136442.9553,17557.67086,73986.35972,30349.683,27855.45012,26588.32398,43785.54507,13167.78744,7077.286996
3/1/1992,5396.358071,13582.00201,120699.1863,79729.05577,28858.43526,22140.80842,84197.95672,94100.08106,13550.16554,53063.51644,21796.31686,20136.86185,23167.98714,31641.72669,15597.82825,4821.638177
4/1/1992,13907.85353,16195.77136,73059.2096,137584.5946,35171.40171,36564.84613,33007.45687,16132.53575,7803.253662,17505.84785,6285.257616,6967.68622,19265.72601,8159.066429,22891.12162,195.0134441
5/1/1992,17630.66018,10603.68316,46851.4627,153207.2049,36251.77135,38449.66677,14272.07016,2934.413721,4526.22401,6109.941188,2225.731096,2636.915057,15928.85952,3077.381802,25976.69761,23.58566968
6/1/1992,13510.48629,7791.545475,36066.3277,107709.2005,30516.82694,27602.4871,15172.47297,7637.050529,4330.522328,5370.210964,5510.011288,4892.398723,14888.41447,9524.551769,18656.18077,637.4008863
7/1/1992,4390.803176,442.1432247,12686.46849,11905.95919,16357.91362,3655.506273,18378.3984,29315.89191,3346.097836,4318.780635,18869.37535,10535.25088,11371.05481,38094.05254,4815.040582,17892.70054
8/1/1992,2464.256772,192.4413165,7274.331606,3198.565386,12572.4173,1288.976532,19407.95664,40488.13546,3187.726523,3628.845238,25916.25523,13859.60416,10516.70879,53471.15686,1705.510709,26670.41035
9/1/1992,6610.940051,6435.415459,28299.19991,28367.47542,24629.66908,10823.51719,36485.64496,85285.97263,7965.175641,10510.37413,31303.36942,27302.14496,18381.23641,59679.7906,3916.448708,23124.8891
10/1/1992,23827.14776,195856.3294,129801.3183,298498.479,60813.36591,102785.2896,75246.73108,185750.7071,21888.50343,30687.12848,38690.47911,58190.39389,38730.94266,65281.78593,14441.21138,16090.55586
